,User,Tweet,timeTweet,source,retweet
144,__SlyTheSly__,"@SNCF Je suis allé en agence, on m'a dit qu'a priori le train circule, on m'a dit d'attendre, j'ai déjà perdu 2h depuis hier à clarifier la situation et je meurs de stress là. La SNCF ne me propose pas de trajet alternatif, rien, tout est complet ou presque.",2022-12-16 10:52:56+00:00,Twitter Web App,0
145,JulienTaillez,"@tonytudors @UNSAFerro_Off @chivotjl @SNCF Vote démocratique mais bien sûr, sache que je lis toutes les publications OS comme entreprise 😉",2022-12-16 10:52:08+00:00,Twitter for iPhone,0
146,__SlyTheSly__,"@SNCF Oui, mais sur le site et l'application mon train n'apparaît pas annulé. On ne me propose pas le remplacement gratuit habituel, tous les trains sont complets ou fermés à la réservation le 26 et le 27 !",2022-12-16 10:51:03+00:00,Twitter Web App,0
147,tonytudors,"@JulienTaillez @UNSAFerro_Off @chivotjl @SNCF Au moins tu lis toutes mes communications 😃 C’est bien 👏 En arrêtant de vexer (car je ne sais pas qui est le 🤡 finalement quand on s’associe systématiquement à une OS dont les valeurs ne sont certainement pas les nôtres), il s’agit d’un vote démocratique. Il ne se juge pas.",2022-12-16 10:50:05+00:00,Twitter for iPhone,0
148,BreizhOfficiel,"La seconde règle du Fight Club est : il est interdit de parler du Fight Club.

La première règle du Fight Club est : il est interdit de partir en vacances avec la @SNCF.

Ne le faites pas. Jamais. Sinon vos vacances tomberont à l'eau.",2022-12-16 10:45:48+00:00,Twitter for Android,0
149,pyxiit,Tous les jours fuck la @SNCF on le dira jamais assez,2022-12-16 10:44:32+00:00,Twitter for iPhone,0
150,alexkKBM,On a son visage la @SNCF ne peut pas poursuivre cette sombre merde en justice ?? https://t.co/4aRN7ORUrA,2022-12-16 10:42:19+00:00,Twitter for iPhone,0
151,sandra_wdhmr,"@SNCF Avec vos grèves et suppression de trains a la der min,à ce jour je dois 10h de travail à mon employeur!Qui va me les rembourser? Vous ?Et je ne parle pas des conditions de transport.pire que du bétail. Marre d'être pris en otage et de ne rien avoir en retour.zéro dédommagement!",2022-12-16 10:41:16+00:00,Twitter for Android,0
152,leaaaaaa_f,"@SNCF Super, je vous remercie. Il n'y aura donc pas de risques d'amendes sur un train autre que sncf ? Bonne journée et bon courage à vous",2022-12-16 10:40:22+00:00,Twitter Web App,0
153,SterTux,"Merci @SNCF avec vos retards je vais louper ma correspondance, changez rien vous êtes parfaits 👌🏻",2022-12-16 10:39:07+00:00,Twitter for Android,0
154,SNCFConnect,"@edperrin @SNCF Bonjour, 
Afin de vous aiguiller au mieux, pouvez-vous nous indiquer en MP les modalités de votre voyage (gares, dates, horaires, nombre de passagers) ? Nous allons regarder cela ensemble. À très vite.
https://t.co/Cs67MI6G2P",2022-12-16 10:39:04+00:00,RC Engage Digital EU,0
155,leaaaaaa_f,@SNCF @SNCF up s'il vous plait... Je souhaite faire le changement le plus vite possible... Si ma situation le permet,2022-12-16 10:38:39+00:00,Twitter Web App,0
156,jeanneoliver,@SNCF Bonjour. Mon train Nice Ventimiglia 10:09  a été annulée. Comment je peux être remboursé ?,2022-12-16 10:37:34+00:00,Twitter for Android,0
157,DLSCX1,Comme prendre la voiture ou l'avion à cause des grèves permanentes à la @SNCF ? https://t.co/snKZxCXfg3,2022-12-16 10:36:52+00:00,Twitter for Android,0
