,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
53,2017-06-01,200392.0,196170.0,4222.0,18817.0,90.40780955293877,9.425147473029707,2017,6
54,2017-07-01,188450.0,185198.0,3252.0,16241.0,91.23046685169386,10.40311557170125,2017,7
55,2017-08-01,190376.0,188295.0,2801.0,13971.0,92.58025969887676,12.477560661369981,2017,8
56,2017-09-01,200526.0,198075.0,3081.0,16983.0,91.42597500946611,10.663133721957252,2017,9
57,2017-10-01,207336.0,204074.0,3262.0,19177.0,90.60291854915374,9.641601918965428,2017,10
58,2017-11-01,201686.0,198124.0,3562.0,22677.0,88.55413781268297,7.736781761255898,2017,11
59,2017-12-01,200142.0,194378.0,5764.0,21031.0,89.18035991727459,8.242451619038562,2017,12
60,2018-01-01,209310.0,204334.0,4976.0,18925.0,90.73820313799955,9.797040951122854,2018,1
61,2018-02-01,190870.0,187094.0,3776.0,17807.0,90.48232439308583,9.506767001740888,2018,2
62,2018-03-01,203996.0,199760.0,4236.0,16051.0,91.96485782939527,11.445330509002554,2018,3
63,2018-04-01,116475.0,118472.0,2336.0,10296.0,91.30933891552435,10.506604506604507,2018,4
64,2018-05-01,128432.0,125705.0,2727.0,11381.0,90.94626307624995,10.045162990949828,2018,5
65,2018-06-01,148026.0,144815.0,3211.0,14809.0,89.77384939405448,8.778850698899317,2018,6
66,2018-07-01,186124.0,181740.0,4384.0,19076.0,89.50368658523165,8.527154539735793,2018,7
67,2018-08-01,190994.0,187754.0,3240.0,15626.0,91.67740767174068,11.015487008831435,2018,8
68,2018-09-01,199597.0,196149.0,3448.0,16534.0,91.57069370733473,10.86337244465949,2018,9
69,2018-10-01,210118.0,205779.0,4339.0,20283.0,90.14330908401732,9.145392693388551,2018,10
70,2018-11-01,201330.0,197085.0,4245.0,22473.0,88.59730573102976,7.769857161927646,2018,11
71,2018-12-01,193074.0,188981.0,4093.0,17480.0,90.7503928966404,9.811270022883296,2018,12
72,2019-01-01,212590.0,208618.0,3972.0,15551.0,92.54570554793929,12.415085846569353,2019,1
73,2019-02-01,190972.0,187810.0,3162.0,13551.0,92.7847292476439,12.859493764297838,2019,2
74,2019-03-01,206701.0,203028.0,3673.0,14404.0,92.90541206139055,13.095251319078034,2019,3
75,2019-04-01,198090.0,195510.0,2580.0,12652.0,93.52871975858012,14.452892823269048,2019,4
76,2019-05-01,202892.0,200384.0,2508.0,11395.0,94.31341823698499,16.585256691531374,2019,5
77,2019-06-01,191938.0,188551.0,3387.0,15455.0,91.80327868852459,11.2,2019,6
78,2019-07-01,196593.0,192503.0,4090.0,15103.0,92.15440798325221,11.746010726345759,2019,7
79,2019-08-01,188419.0,185800.0,2619.0,10926.0,94.1194833153929,16.00530843858686,2019,8
80,2019-09-01,198412.0,195452.0,2960.0,13424.0,93.13181753064691,13.55989272943981,2019,9
81,2019-10-01,199982.0,187717.0,12265.0,17028.0,90.9288982883809,10.024019262391356,2019,10
82,2019-11-01,191305.0,186888.0,4417.0,20716.0,88.91528616069517,8.021432709017185,2019,11
83,2019-12-01,67203.0,63502.0,3701.0,7767.0,87.76888916884508,7.17587228015965,2019,12
84,2020-01-01,152113.0,147581.0,4532.0,13047.0,91.15943109207825,10.311489231240898,2020,1
85,2020-02-01,203851.0,197399.0,6452.0,16515.0,91.63369621933242,10.95270965788677,2020,2
86,2020-03-01,129489.0,126075.0,3414.0,9611.0,92.37675986515963,12.117781708459058,2020,3
87,2020-04-01,35184.0,35045.0,139.0,1463.0,95.82536738479098,22.954203691045798,2020,4
88,2020-05-01,85640.0,84329.0,1311.0,5057.0,94.00324917881156,15.675697053589085,2020,5
89,2020-06-01,152440.0,150799.0,1641.0,10068.0,93.32356315360181,13.978049264998013,2020,6
90,2020-07-01,185067.0,181894.0,3173.0,13242.0,92.71993578677692,12.736142576650053,2020,7
91,2020-08-01,196181.0,192667.0,3514.0,13394.0,93.04810891330638,13.384575182917724,2020,8
92,2020-09-01,215109.0,211336.0,3773.0,14533.0,93.12327289245562,13.541801417463704,2020,9
93,2020-10-01,211665.0,206558.0,5107.0,18503.0,91.04222542820902,10.163487002107766,2020,10
94,2020-11-01,166732.0,164351.0,2381.0,12181.0,92.58842355689956,12.492406206386995,2020,11
95,2020-12-01,179368.0,176098.0,3270.0,11418.0,93.51611034764733,14.42284112804344,2020,12
96,2021-01-01,187304.0,182946.0,4358.0,12844.0,92.97934909754791,13.243693553410152,2021,1
97,2021-02-01,185442.0,181478.0,3964.0,12013.0,93.38046484973385,14.106800965620577,2021,2
98,2021-03-01,196457.0,192141.0,4316.0,10974.0,94.2885693318969,16.508747949699288,2021,3
99,2021-04-01,158088.0,155532.0,2556.0,8411.0,94.5921096623203,17.49149922720247,2021,4
100,2021-05-01,185598.0,181917.0,3681.0,11669.0,93.58553626104212,14.589767760733567,2021,5
101,2021-06-01,200096.0,194980.0,5116.0,14386.0,92.62180736485793,12.553454747671347,2021,6
102,2021-07-01,187369.0,183113.0,4256.0,12713.0,93.05729249152162,13.40360261150004,2021,7
